time,open,high,low,close,volume
2024-12-30,19.94,19.97,19.83,19.9,12176491
2024-12-31,19.9,19.9,19.79,19.83,10258083
2025-01-02,19.86,20.12,19.86,20.09,14970526
2025-01-03,20.01,20.09,19.79,19.79,13208512
2025-01-06,19.79,19.86,19.38,19.38,15267581
2025-01-07,19.45,19.64,19.38,19.38,14414801
2025-01-08,19.38,19.53,19.3,19.53,12963197
2025-01-09,19.57,19.57,19.27,19.34,9252679
2025-01-10,19.34,19.42,19.01,19.01,14290074
2025-01-13,19.01,19.38,18.93,19.27,13586454
2025-01-14,19.3,19.34,19.19,19.23,7670367
2025-01-15,19.34,19.53,19.27,19.49,11228889
2025-01-16,19.57,19.68,19.38,19.57,11215124
2025-01-17,19.57,19.71,19.42,19.71,13956621
2025-01-20,19.71,19.9,19.68,19.68,9665010
2025-01-21,19.79,19.79,19.49,19.57,10429273
2025-01-22,19.64,19.64,19.45,19.45,10285189
2025-01-23,19.49,19.9,19.45,19.83,15800444
2025-01-24,19.83,19.83,19.68,19.75,10409008
2025-02-03,19.71,19.79,19.53,19.64,16987354
2025-02-04,19.71,20.09,19.68,19.97,17370750
2025-02-05,19.97,20.09,19.9,19.94,14477772
2025-02-06,19.94,20.05,19.9,19.94,13545529
2025-02-07,19.94,19.94,19.79,19.83,12556995
2025-02-10,19.71,19.71,18.9,18.9,61143342
2025-02-11,18.93,19.42,18.93,19.42,28914141
2025-02-12,19.49,19.49,19.23,19.23,13674965
2025-02-13,19.3,19.34,19.23,19.27,9507535
2025-02-14,19.42,19.57,19.34,19.42,18592795
2025-02-17,19.45,19.53,19.38,19.45,14380031
2025-02-18,19.6,19.79,19.57,19.75,24951942
2025-02-19,19.79,19.79,19.64,19.71,13664314
2025-02-20,19.75,19.79,19.71,19.75,11920169
2025-02-21,19.75,19.79,19.64,19.68,11076712
2025-02-24,21.05,21.05,20.49,20.61,73928603
2025-02-25,20.53,20.61,20.23,20.46,31597535
2025-02-26,20.53,20.79,20.49,20.64,31840327
2025-02-27,20.68,21.16,20.53,21.16,51151649
2025-02-28,21.13,21.13,20.79,20.83,24230428
2025-03-03,20.87,21.02,20.83,20.87,20678579
2025-03-04,20.87,20.87,20.57,20.72,27441800
2025-03-05,20.72,20.76,20.49,20.49,30401582
2025-03-06,20.53,20.79,20.53,20.79,36989136
2025-03-07,20.83,20.9,20.64,20.87,33148420
2025-03-10,20.9,20.98,20.79,20.79,23601359
2025-03-11,20.53,20.94,20.53,20.94,26105585
2025-03-12,20.98,20.98,20.68,20.68,20664501
2025-03-13,20.72,20.87,20.61,20.61,24826490
2025-03-14,20.61,20.72,20.49,20.49,18298151
2025-03-17,20.76,20.94,20.64,20.72,19738337
2025-03-18,20.76,20.87,20.53,20.53,18761045
2025-03-19,20.53,20.53,20.16,20.27,37953539
2025-03-20,20.31,20.42,20.12,20.2,25038597
2025-03-21,20.16,20.27,20.12,20.2,18921643
2025-03-24,20.2,20.27,20.01,20.2,16247689
2025-03-25,20.27,20.38,20.16,20.23,20115102
2025-03-26,20.23,20.79,20.2,20.49,43997569
2025-03-27,20.61,20.61,20.42,20.46,12023359
2025-03-28,20.42,20.46,20.16,20.2,17090800
2025-03-31,20.12,20.16,19.9,19.9,26565641
2025-04-01,19.94,20.12,19.9,20.09,14037535
2025-04-02,20.2,20.38,20.16,20.27,16797845
2025-04-03,19.19,19.68,18.86,18.86,80792245
2025-04-04,17.56,18.49,17.56,18.3,73222029
2025-04-08,17.48,17.85,17.04,17.04,35517471
2025-04-09,15.85,16.59,15.85,15.85,77212228
2025-04-10,16.92,16.92,16.92,16.92,3066909
2025-04-11,18.0,18.08,17.48,18.08,76305239
2025-04-14,18.45,19.16,18.41,18.86,51254525
2025-04-15,18.71,19.45,18.64,19.23,50611194
2025-04-16,19.27,19.34,18.64,18.97,25738379
2025-04-17,18.75,19.04,18.45,18.97,24465980
2025-04-18,19.08,19.16,18.93,18.93,20785143
2025-04-21,18.93,18.93,18.56,18.56,17327776
2025-04-22,18.45,18.67,17.41,18.64,47493704
2025-04-23,18.97,19.12,18.86,19.01,22246788
2025-04-24,19.12,19.12,18.75,19.04,17227712
2025-04-25,18.93,19.12,18.78,19.12,24864961
2025-04-28,19.12,19.12,18.86,19.08,9768183
2025-04-29,19.08,19.12,18.9,18.97,14478374
2025-05-05,19.08,19.16,18.86,19.12,12563050
2025-05-06,19.16,19.38,18.93,18.93,20963206
2025-05-07,18.86,18.97,18.86,18.9,11518736
2025-05-08,18.9,19.23,18.82,19.12,19907154
2025-05-09,19.12,19.16,18.97,19.08,11024723
2025-05-12,19.01,19.16,18.41,18.9,64778664
2025-05-13,19.04,19.34,19.04,19.19,20324199
2025-05-14,19.27,19.75,19.23,19.45,34103088
2025-05-15,19.49,19.49,19.23,19.45,22639684
2025-05-16,19.45,19.49,19.19,19.19,16827367
2025-05-19,19.16,19.3,19.01,19.08,15012607
2025-05-20,19.04,19.19,19.04,19.08,17464910
2025-05-21,19.16,19.42,19.08,19.16,20165788
2025-05-22,19.16,19.3,19.01,19.08,24383807
2025-05-23,19.16,19.23,19.01,19.04,11111572
2025-05-26,19.08,19.08,18.64,19.01,27453941
2025-05-27,19.01,19.45,19.01,19.01,26913678
2025-05-28,19.16,19.27,19.01,19.04,15622229
2025-05-29,19.12,19.19,18.97,19.01,16448281
2025-05-30,19.08,19.83,19.08,19.16,65014524
